timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-22,24.729,24.729,24.715,24.715,22.7473044600944,100,0.0000,1.0
2023-02-21,24.68,24.68,24.68,24.68,22.7150910004099,17,0.0000,1.0
2023-02-17,24.69,24.69,24.69,24.69,22.7242948460341,114,0.0000,1.0
2023-02-16,24.685,24.685,24.685,24.685,22.719692923222,72,0.0000,1.0
2023-02-15,24.69,24.69,24.64,24.66,22.6966833091616,4716,0.0000,1.0
2023-02-14,24.65,24.65,24.65,24.65,22.6874794635374,105,0.0000,1.0
2023-02-13,24.61,24.615,24.61,24.615,22.6552660038529,241,0.0000,1.0
2023-02-10,24.61,24.63,24.6,24.61,22.6506640810408,555,0.0000,1.0
2023-02-09,24.6,24.62,24.6,24.62,22.659867926665,583,0.0000,1.0
2023-02-08,24.615,24.615,24.615,24.615,22.6552660038529,2,0.0000,1.0
2023-02-07,24.57,24.57,24.57,24.57,22.6138486985442,93,0.0000,1.0
2023-02-06,24.525,24.525,24.525,24.525,22.5724313932355,105,0.0000,1.0
2023-02-03,24.54,24.54,24.5132,24.5132,22.561570855399,265,0.0000,1.0
2023-02-02,24.53,24.53,24.505,24.515,22.5632275476114,1830,0.0000,1.0
2023-02-01,24.515,24.515,24.515,24.515,22.5632275476114,50,0.1125,1.0
2023-01-31,24.61,24.61,24.61,24.61,22.5471943943444,112,0.0000,1.0
2023-01-30,24.6,24.6,24.6,24.6,22.5380325924775,149,0.0000,1.0
2023-01-27,24.5879,24.5879,24.56,24.56,22.5013853850101,100,0.0000,1.0
2023-01-26,24.53,24.53,24.53,24.53,22.4738999794095,16,0.0000,1.0
2023-01-25,24.5399,24.54,24.53,24.53,22.4738999794095,311,0.0000,1.0
2023-01-24,24.51,24.51,24.51,24.51,22.4555763756758,100,0.0000,1.0
2023-01-23,24.515,24.515,24.515,24.515,22.4601572766092,101,0.0000,1.0
2023-01-20,24.52,24.52,24.51,24.51,22.4555763756758,117,0.0000,1.0
2023-01-19,24.505,24.505,24.505,24.505,22.4509954747423,88,0.0000,1.0
2023-01-18,24.4775,24.49,24.4501,24.47,22.4189291682083,2641,0.0000,1.0
2023-01-17,24.43,24.46,24.43,24.46,22.4097673663415,109,0.0000,1.0
2023-01-13,24.49,24.49,24.49,24.49,22.437252771942,220,0.0000,1.0
2023-01-12,24.42,24.44,24.4199,24.42,22.373120158874,989,0.0000,1.0
2023-01-11,24.395,24.395,24.395,24.395,22.3502156542069,112,0.0000,1.0
2023-01-10,24.383,24.43,24.3815,24.4,22.3547965551403,4192,0.0000,1.0
2023-01-09,24.375,24.375,24.375,24.375,22.3318920504732,2,0.0000,1.0
2023-01-06,24.39,24.39,24.39,24.39,22.3456347532734,1,0.0000,1.0
2023-01-05,24.38,24.38,24.38,24.38,22.3364729514066,5,0.0000,1.0
2023-01-04,24.37,24.37,24.37,24.37,22.3273111495397,19,0.0000,1.0
2023-01-03,24.365,24.365,24.365,24.365,22.3227302486063,12,0.0000,1.0
2022-12-30,24.38,24.38,24.37,24.37,22.3273111495397,307,0.0000,1.0
2022-12-29,24.37,24.37,24.365,24.365,22.3227302486063,105,0.1054,1.0
2022-12-28,24.469,24.47,24.44,24.44,22.2949983357827,1077,0.0000,1.0
2022-12-27,24.425,24.425,24.425,24.425,22.2813148261658,86,0.0000,1.0
2022-12-23,24.4,24.43,24.4,24.43,22.2858759960381,772,0.0000,1.0
2022-12-22,24.39,24.39,24.39,24.39,22.2493866370598,5,0.0000,1.0
2022-12-21,24.42,24.42,24.36,24.38,22.2402642973152,7987,0.0000,1.0
2022-12-20,24.42,24.42,24.42,24.42,22.2767536562935,2,0.0000,1.0
2022-12-19,24.4399,24.4399,24.41,24.41,22.267631316549,502,0.0000,1.0
2022-12-16,24.41,24.41,24.41,24.41,22.267631316549,6,0.0000,1.0
2022-12-15,24.38,24.38,24.38,24.38,22.2402642973152,9,0.0000,1.0
2022-12-14,24.355,24.37,24.33,24.37,22.2311419575706,1571,0.0000,1.0
2022-12-13,24.34,24.34,24.34,24.34,22.2037749383368,1,0.0000,1.0
2022-12-12,24.33,24.33,24.33,24.33,22.1946525985922,37,0.0000,1.0
2022-12-09,24.33,24.33,24.33,24.33,22.1946525985922,88,0.0000,1.0
2022-12-08,24.335,24.335,24.335,24.335,22.1992137684645,90,0.0000,1.0
2022-12-07,24.31,24.31,24.31,24.31,22.176407919103,23,0.0000,1.0
2022-12-06,24.305,24.305,24.305,24.305,22.1718467492307,3,0.0000,1.0
2022-12-05,24.29,24.29,24.29,24.29,22.1581632396138,8,0.0000,1.0
2022-12-02,24.3199,24.3199,24.29,24.29,22.1581632396138,386,0.0000,1.0
2022-12-01,24.285,24.285,24.285,24.285,22.1536020697416,0,0.1035,1.0
2022-11-30,24.38,24.38,24.38,24.38,22.1458809873629,1,0.0000,1.0
2022-11-29,24.37,24.37,24.37,24.37,22.136797361035,0,0.0000,1.0
2022-11-28,24.36,24.36,24.36,24.36,22.1277137347071,4,0.0000,1.0
2022-11-25,24.34,24.34,24.34,24.34,22.1095464820513,109,0.0000,1.0
2022-11-23,24.29,24.32,24.29,24.32,22.0913792293956,163,0.0000,1.0
2022-11-22,24.33,24.33,24.31,24.31,22.0822956030677,500,0.0000,1.0
2022-11-21,24.3,24.3,24.3,24.3,22.0732119767398,71,0.0000,1.0
2022-11-18,24.26,24.26,24.26,24.26,22.0368774714283,0,0.0000,1.0
2022-11-17,24.23,24.23,24.23,24.23,22.0096265924447,274,0.0000,1.0
2022-11-16,24.25,24.25,24.25,24.25,22.0277938451005,18,0.0000,1.0
2022-11-15,24.22,24.22,24.2,24.22,22.0005429661168,1935,0.0000,1.0
2022-11-14,24.19,24.19,24.15,24.155,21.9414993949856,13605,0.0000,1.0
2022-11-11,24.19,24.19,24.165,24.165,21.9505830213135,611,0.0000,1.0
2022-11-10,24.145,24.145,24.145,24.145,21.9324157686578,22,0.0000,1.0
2022-11-09,24.12,24.12,24.12,24.12,21.9097067028381,87,0.0000,1.0
2022-11-08,24.125,24.125,24.125,24.125,21.914248516002,20,0.0000,1.0
2022-11-07,24.105,24.105,24.105,24.105,21.8960812633463,122,0.0000,1.0
2022-11-04,24.11,24.11,24.11,24.11,21.9006230765102,17,0.0000,1.0
2022-11-03,24.11,24.11,24.11,24.11,21.9006230765102,25,0.0000,1.0
2022-11-02,24.11,24.11,24.0803,24.11,21.9006230765102,420,0.0000,1.0
2022-11-01,24.105,24.105,24.105,24.105,21.8960812633463,2,0.0896,1.0
2022-10-31,24.185,24.185,24.185,24.185,21.8873932759388,16,0.0000,1.0
2022-10-28,24.18,24.18,24.18,24.18,21.8828682824974,4,0.0000,1.0
2022-10-27,24.205,24.205,24.205,24.205,21.9054932497043,3,0.0000,1.0
2022-10-26,24.2,24.2,24.2,24.2,21.9009682562629,0,0.0000,1.0
2022-10-25,24.19,24.19,24.19,24.19,21.8919182693802,93,0.0000,1.0
2022-10-24,24.17,24.17,24.17,24.17,21.8738182956147,88,0.0000,1.0
2022-10-21,24.16,24.16,24.16,24.16,21.8647683087319,30,0.0000,1.0
2022-10-20,24.11,24.13,24.1,24.13,21.8376183480837,251,0.0000,1.0
2022-10-19,24.13,24.13,24.13,24.13,21.8376183480837,201,0.0000,1.0
2022-10-18,24.12,24.12,24.12,24.12,21.8285683612009,211,0.0000,1.0
2022-10-17,24.09,24.09,24.05,24.07,21.7833184267872,201,0.0000,1.0
2022-10-14,24.03,24.04,24.03,24.04,21.7561684661389,1223,0.0000,1.0
2022-10-13,24.07,24.095,24.04,24.095,21.805943393994,7565,0.0000,1.0
2022-10-12,24.1,24.1112,24.1,24.11,21.8195183743182,3343,0.0000,1.0
2022-10-11,24.16,24.27,24.13,24.13,21.8376183480837,13485,0.0000,1.0
2022-10-10,24.155,24.155,24.155,24.155,21.8602433152906,8,0.0000,1.0
2022-10-07,24.0813,24.11,24.0813,24.11,21.8195183743182,312,0.0000,1.0
2022-10-06,24.11,24.11,24.11,24.11,21.8195183743182,14,0.0000,1.0
2022-10-05,24.1,24.1,24.1,24.1,21.8104683874354,20,0.0000,1.0
2022-10-04,24.1086,24.1086,24.08,24.08,21.7923684136699,218,0.0000,1.0
2022-10-03,24.075,24.075,24.075,24.075,21.7878434202285,9,0.0726,1.0
2022-09-30,24.205,24.205,24.205,24.205,21.8396341659888,112,0.0000,1.0
2022-09-29,24.1808,24.21,24.1808,24.21,21.8441455549923,429,0.0000,1.0
